filename,axis,score
011306a43681f3c35f11b405b4588f3f42c539e911c1850eb5b7ce48ddade415,framing,5
0250d1a9321d85b84383e5d36fe22ffc51db119aec2ada39012d01a717842c78,framing,3
037c8f2c94dee7c0288b666815a018587bd149cc3533f814ceda4c8eb39ca7ab,framing,2
05d9026915a2ed9fa9cd1e12bf25abcf4b7226077c433d108246f834f86ac620,framing,3
0786231d221d41072f47ffecede36b2d9125068f063cb997aad42ffd1d915e56,framing,2
09b77d2e9bf636d73173bb8e5dbdfb795c6532e13d3293cf1242658194729af2,framing,4
0c9d717c71c24d3ce33141f1cc7c42c3d88b1c2d0e0560a60ed7e09eeda9568b,framing,3
0ebe73ef2e3b3feafd0af8c9b3af0022c2e04ef08a4bbdde25f65748d09e6726,framing,3
11c4286bc9587dbea7ca422fb3232c4870e8c6210ce9fae9e513ca3d6d22f626,framing,2
16834f5e1510747778c48805814ea029252b5362eec7eaa72944ea79cb96d727,framing,5
16875e6b76786e397019db12ff30b69eb9035a98d6483f0ce925a5cdf792e7a2,framing,3
17a7986e9454758e31cff58730c120fa7519c8d17d159b592f4667611658b961,framing,4
17e9c8b305320a88c5eea7866616518dbb45234c90778c435116d0f5a2bf33c4,framing,2
1c8d6a93c5c709818c72ebe65e66a4b24aec082462a9c758fb4ed1816f035b91,framing,5
1d783f9df11eecd3fd6b0274cdeb77d0b12e98526d569a0867842b1fbf1b02c8,framing,5
1e69286ca49fa81bfe085755ee763522124d76a48c1a45766ee71dbdd871b717,framing,3
1fbf0f335b8f38427876cfc1584f08cadce691275669d34c6a1639ce1be4c7b5,framing,5
213a6f65ae5c97d07dd624392710c33f199c1cbda2d04898cb521328009195e2,framing,5
24c9e0a52ec303428e6e1bf49d888acd55e6e76695bdb5a562faf21283d05428,framing,2
310a4260486f25a080d703467ac0d778ed5f8a8ce9b907f523a80f017fbc0b36,framing,5
3303513e2050761cc571dfb3c8f39c30a29b2d53d6d0644880b803b2fc43234f,framing,4
3d773c59eb0d72cbb9cc74a29d7a2afcc19907490d87c32192625c6e7d0b7148,framing,4
44c80c64eb1dd922b701c6164b87e0012a9152f06e3c7eac5e2d009806b896fe,framing,5
46accb1f925418b8463f13adc9b1bd7c3bb91a8cdfdce19ee71c0b66986cd69b,framing,3
47f3f4085b9994adcf5917c58b6226c22e66efb182869cc53fc49f518727064b,framing,5
48d35996dc4e22f59f30f58cbf3247f50d14f03573ab5181e5973aea28dacbc6,framing,3
4fe790fc4d394f52288f23a95d771f8748ed1b8bed5ce4d3b36860fbfb43d89b,framing,5
5331a4d18c6298209dd4371133e2a26999e64b8a5f57124cc87eeabc409d1f39,framing,5
56912e62e2b27a0ca1d2a2d3b6df8aafa2f1a6d33ba3fa3ca7f2e843c263ca67,framing,5
56ec26e79adc4f6d6f06709b3495a32b66bf7ec7b483a327b72de33ffe38e35e,framing,4
5954b8813534bb031b08bbd4f638b1a58c5e5bb9954aac506cb9cbd65808d52a,framing,4
5c2d76c9ae6be132d41b4883c8d9fce3dbcc746d6ebf133e9c07eea20bcb10c6,framing,4
5fab5b59de40c3e38115091b6b3e066a12d21196edd5605493841f75087c7b3b,framing,4
63a4aaae21b54a8842ba87db2b54c1e654dd16832b4eea21e8dc8b145651b0e8,framing,2
679c0ec927a9d3836972e5497dc1efd62b4f63b27ea19cbc244a301ee3562dc8,framing,2
6a591b75fe51684a0023a135a87c1ed30e93c58563544352af4ff80c91ea4627,framing,4
77bd45262e7524153ab4511799e180b8860fe789bb32c515629812e15aa52229,framing,2
8b8a165506cc307a7202a0d0edf1818dd4041aaa2423f188ebbe7da71ee3ec65,framing,4
a91fa412021555aecc57c05517c774be23ba655322f094e7b174d18f05ad40a5,framing,4
af330b9d632a187946660a61c0217425d7ec1f5ef38f58ad3dd3706d7b8a93e0,framing,4
